session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_date,rating_comment
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay1,end2end,100,41464,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay1,reference,83,41464,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay1,anchor,81,41464,"28/03/2023, 09:25:40",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,training,C2,40,24952,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,training,anchor70,100,24952,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,training,reference,100,24952,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,training,C3,12,24952,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,training,C1,61,24952,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,training,anchor35,100,24952,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive2,end2end,35,48673,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive2,anchor,65,48673,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive2,reference,100,48673,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay1,anchor,71,73967,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay1,end2end,31,73967,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay1,reference,100,73967,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience1,end2end,50,38427,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience1,reference,100,38427,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience1,anchor,21,38427,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience0,reference,100,48281,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience0,anchor,29,48281,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience0,end2end,39,48281,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive0,anchor,79,29427,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive0,end2end,28,29427,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive0,reference,100,29427,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience2,anchor,46,32284,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience2,reference,97,32284,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,ambience2,end2end,29,32284,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive1,reference,100,25968,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive1,anchor,43,25968,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,overdrive1,end2end,27,25968,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband1,anchor,36,61875,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband1,reference,100,61875,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband1,end2end,76,61875,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband1,style_transfer,86,61875,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband0,style_transfer,100,38306,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband0,anchor,42,38306,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband0,reference,90,38306,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband0,end2end,70,38306,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband2,anchor,52,39316,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband2,end2end,89,39316,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband2,style_transfer,94,39316,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,multiband2,reference,100,39316,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay2,anchor,61,110297,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay2,end2end,54,110297,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay2,reference,100,110297,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay0,reference,100,30909,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay0,end2end,47,30909,"28/03/2023, 17:01:29",
style_transfer,13198be2-b8dc-451e-bca1-c1e09bcbcca2,delay0,anchor,37,30909,"28/03/2023, 17:01:29",
style_transfer,90913ed2-88a6-4281-8318-b57a5d240915,training,reference,82,49925,"3/28/2023, 11:29:29 PM",
style_transfer,90913ed2-88a6-4281-8318-b57a5d240915,training,C3,20,49925,"3/28/2023, 11:29:29 PM",
